!	1	418													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Erotate	Ftm	Etm	R
#unit	n	n	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	0	1	6.00E+12	0.01	6.00E+12	0	10	6.00E+12	0.01	10	6.00E+12	10	6.00E+12	6	9.45E-01
	0	2	6.00E+12	0.03	6.00E+12	0	10	6.00E+12	0.01	1.03	6.00E+12	10	6.00E+12	4	1.02E+00
	0	3	6.00E+12	0.05	6.00E+12	0	10	6.00E+12	0.01	1.36	6.00E+12	10	6.00E+12	2.5	1.07E+00
	0	4	6.00E+12	0.06	6.00E+12	0	10	6.00E+12	0.01	1.52	6.00E+12	10	6.00E+12	1.4	1.11E+00
	0	5	6.00E+12	0.07	6.00E+12	0	10	6.00E+12	0.01	1.64	6.00E+12	10	6.00E+12	0.8	1.15E+00
	0	6	6.00E+10	0.08	6.00E+12	0	10	6.00E+12	0.01	2.09	6.00E+12	10	6.00E+12	0	1.18E+00
	0	7	6.00E+10	0.09	6.00E+12	0	10	6.00E+12	0.01	2.18	6.00E+12	10	6.00E+12	-0.1	1.21E+00
	0	8	6.00E+10	0.1	6.00E+12	0	10	6.00E+12	0.01	2.15	6.00E+12	10	6.00E+12	-0.9	1.23E+00
	0	9	6.00E+10	0.11	6.00E+12	0	10	6.00E+12	0.01	2.11	6.00E+12	10	6.00E+12	-1	1.26E+00
	0	10	6.00E+10	0.12	6.00E+12	0	10	6.00E+12	0.01	2.58	6.00E+12	10	6.00E+12	-1.3	1.28E+00
	0	11	6.00E+10	0.13	6.00E+12	0	10	6.00E+12	0.01	1.9	6.00E+12	10	6.00E+12	-1.8	1.30E+00
	0	12	6.00E+10	0.14	6.00E+12	0	10	6.00E+12	0.01	2.75	6.00E+12	10	6.00E+12	-1.7	1.32E+00
	0	13	6.00E+10	0.15	6.00E+12	0	10	6.00E+12	0.01	2.35	6.00E+12	10	6.00E+12	-1.9	1.33E+00
	0	14	6.00E+10	0.16	6.00E+12	0	10	6.00E+12	0.01	2.7	6.00E+12	10	6.00E+12	-1.6	1.35E+00
	0	15	6.00E+10	0.17	6.00E+12	0	10	6.00E+12	0.01	2.25	6.00E+12	10	6.00E+12	-1.75	1.37E+00
	0	16	6.00E+10	0.18	6.00E+12	0	10	6.00E+12	0.01	2.5	6.00E+12	10	6.00E+12	-4	1.38E+00
	0	17	6.00E+10	0.19	6.00E+12	0	10	6.00E+12	0.01	2.33	6.00E+12	10	6.00E+12	-4	1.40E+00
	0	18	6.00E+10	0.2	6.00E+12	0	10	6.00E+12	0.01	2.67	6.00E+12	10	6.00E+12	-4	1.41E+00
	0	19	6.00E+10	0.21	6.00E+12	0	10	6.00E+12	0.01	2.6	6.00E+12	10	6.00E+12	-4	1.43E+00
	0	20	6.00E+10	0.22	6.00E+12	0	10	6.00E+12	0.01	2.704283436	6.00E+12	10	6.00E+12	-4	1.44E+00
	0	21	6.00E+10	0.23	6.00E+12	0	10	6.00E+12	0.01	2.737626634	6.00E+12	10	6.00E+12	-4	1.45E+00
	0	22	6.00E+10	0.24	6.00E+12	0	10	6.00E+12	0.01	2.769418413	6.00E+12	10	6.00E+12	-4	1.46E+00
	0	23	6.00E+10	0.25	6.00E+12	0	10	6.00E+12	0.01	2.799796747	6.00E+12	10	6.00E+12	-4	1.48E+00
	0	24	6.00E+10	0.26	6.00E+12	0	10	6.00E+12	0.01	2.828881988	6.00E+12	10	6.00E+12	-4	1.49E+00
	0	25	6.00E+10	0.27	6.00E+12	0	10	6.00E+12	0.01	2.856779739	6.00E+12	10	6.00E+12	-4	1.50E+00
	0	26	6.00E+10	0.28	6.00E+12	0	10	6.00E+12	0.01	2.883583174	6.00E+12	10	6.00E+12	-4	1.51E+00
	0	27	6.00E+10	0.29	6.00E+12	0	10	6.00E+12	0.01	2.909374914	6.00E+12	10	6.00E+12	-4	1.52E+00
	0	28	6.00E+10	0.3	6.00E+12	0	10	6.00E+12	0.01	2.934228562	6.00E+12	10	6.00E+12	-4	1.53E+00
	0	29	6.00E+10	0.31	6.00E+12	0	10	6.00E+12	0.01	2.95820997	6.00E+12	10	6.00E+12	-4	1.54E+00
	0	30	6.00E+10	0.32	6.00E+12	0	10	6.00E+12	0.01	2.981378291	6.00E+12	10	6.00E+12	-4	1.55E+00
	0	31	6.00E+10	0.33	6.00E+12	0	10	6.00E+12	0.01	3.003786856	6.00E+12	10	6.00E+12	-4	1.56E+00
	0	32	6.00E+10	0.34	6.00E+12	0	10	6.00E+12	0.01	3.025483916	6.00E+12	10	6.00E+12	-4	1.57E+00
	0	33	6.00E+10	0.35	6.00E+12	0	10	6.00E+12	0.01	3.046513268	6.00E+12	10	6.00E+12	-4	1.58E+00
	0	34	6.00E+10	0.36	6.00E+12	0	10	6.00E+12	0.01	3.066914783	6.00E+12	10	6.00E+12	-4	1.59E+00
	0	35	6.00E+10	0.37	6.00E+12	0	10	6.00E+12	0.01	3.086724865	6.00E+12	10	6.00E+12	-4	1.60E+00
	0	36	6.00E+10	0.38	6.00E+12	0	10	6.00E+12	0.01	3.105976843	6.00E+12	10	6.00E+12	-4	1.61E+00
	0	37	6.00E+10	0.39	6.00E+12	0	10	6.00E+12	0.01	3.124701302	6.00E+12	10	6.00E+12	-4	1.62E+00
	0	38	6.00E+10	0.4	6.00E+12	0	10	6.00E+12	0.01	3.142926382	6.00E+12	10	6.00E+12	-4	1.62E+00
	0	39	6.00E+10	0.41	6.00E+12	0	10	6.00E+12	0.01	3.160678029	6.00E+12	10	6.00E+12	-4	1.63E+00
	0	40	6.00E+10	0.42	6.00E+12	0	10	6.00E+12	0.01	3.177980219	6.00E+12	10	6.00E+12	-4	1.64E+00
	0	41	6.00E+10	0.43	6.00E+12	0	10	6.00E+12	0.01	3.19485515	6.00E+12	10	6.00E+12	-4	1.65E+00
	0	42	6.00E+10	0.44	6.00E+12	0	10	6.00E+12	0.01	3.211323417	6.00E+12	10	6.00E+12	-4	1.66E+00
	0	43	6.00E+10	0.45	6.00E+12	0	10	6.00E+12	0.01	3.227404159	6.00E+12	10	6.00E+12	-4	1.67E+00
	0	44	6.00E+10	0.46	6.00E+12	0	10	6.00E+12	0.01	3.243115196	6.00E+12	10	6.00E+12	-4	1.67E+00
	0	45	6.00E+10	0.47	6.00E+12	0	10	6.00E+12	0.01	3.258473146	6.00E+12	10	6.00E+12	-4	1.68E+00
	0	46	6.00E+10	0.48	6.00E+12	0	10	6.00E+12	0.01	3.27349353	6.00E+12	10	6.00E+12	-4	1.69E+00
	0	47	6.00E+10	0.49	6.00E+12	0	10	6.00E+12	0.01	3.288190871	6.00E+12	10	6.00E+12	-4	1.70E+00
	0	48	6.00E+10	0.5	6.00E+12	0	10	6.00E+12	0.01	3.302578771	6.00E+12	10	6.00E+12	-4	1.70E+00
	0	49	6.00E+10	0.51	6.00E+12	0	10	6.00E+12	0.01	3.316669992	6.00E+12	10	6.00E+12	-4	1.71E+00
	0	50	6.00E+10	0.52	6.00E+12	0	10	6.00E+12	0.01	3.330476522	6.00E+12	10	6.00E+12	-4	1.72E+00
	0	51	6.00E+10	0.53	6.00E+12	0	10	6.00E+12	0.01	3.344009637	6.00E+12	10	6.00E+12	-4	1.72E+00
	0	52	6.00E+10	0.54	6.00E+12	0	10	6.00E+12	0.01	3.357279957	6.00E+12	10	6.00E+12	-4	1.73E+00
	0	53	6.00E+10	0.55	6.00E+12	0	10	6.00E+12	0.01	3.370297494	6.00E+12	10	6.00E+12	-4	1.74E+00
	0	54	6.00E+10	0.56	6.00E+12	0	10	6.00E+12	0.01	3.383071697	6.00E+12	10	6.00E+12	-4	1.75E+00
	0	55	6.00E+10	0.57	6.00E+12	0	10	6.00E+12	0.01	3.395611499	6.00E+12	10	6.00E+12	-4	1.75E+00
	0	56	6.00E+10	0.58	6.00E+12	0	10	6.00E+12	0.01	3.407925345	6.00E+12	10	6.00E+12	-4	1.76E+00
	0	57	6.00E+10	0.59	6.00E+12	0	10	6.00E+12	0.01	3.420021236	6.00E+12	10	6.00E+12	-4	1.76E+00
