#steps	1480522483	time	4e+08	seed	1685634825
#type 1~vac, 2~sia, 3~fia, 4~vac_fia, 5~sia_fia
#no direction~0;	111~1;	-111~2;	1 - 11~3;	11 - 1~4
#id	type	x	y	z	size1	size2	dir
22178881	1	58.2388	31.1233	45.0462	13	0	0
22183584	1	60.2225	7.3284	14.0766	6	0	0
22184905	1	6.11424	33.0161	1.8514	9	0	0
22186233	1	35.1742	16.3725	4.78025	6	0	0
22187307	1	14.1362	10.2751	26.5022	6	0	0
22187984	1	54.9175	23.7778	61.8476	6	0	0
22188754	1	10.0629	40.7485	62.4211	8	0	0
22194209	1	2.53804	2.55703	54.659	6	0	0
22194650	1	19.0396	53.9734	60.5112	13	0	0
22196397	1	29.8302	45.1666	23.7391	13	0	0
22196741	1	58.3039	50.7344	63.0507	12	0	0
22197331	1	14.6694	33.2219	39.8074	31	0	0
22197674	1	28.4661	40.8151	16.3341	13	0	0
22198600	1	49.4252	35.0089	4.61329	6	0	0
22199957	1	46.9272	30.0757	7.45889	10	0	0
22200192	1	39.0798	0.559878	31.4265	8	0	0
22201016	1	24.7753	62.8624	30.1091	11	0	0
22201259	1	55.8176	23.6355	23.2229	1284	0	0
22201556	1	58.2785	0.0967429	47.0213	66	0	0
22201578	1	56.2449	46.4986	46.7782	20	0	0
22201746	1	19.5072	50.9192	52.9861	13	0	0
22202171	1	58.8174	49.7627	16.4586	20	0	0
22202275	1	8.09113	44.695	17.4449	14	0	0
22202400	1	15.9167	62.5521	31.2154	1369	0	0
22202568	1	22.9869	61.1514	47.1923	15	0	0
22203022	1	0.592451	15.2692	30.9153	1398	0	0
22203051	1	8.85825	23.7556	39.3652	1349	0	0
22203052	1	16.7188	14.8879	31.2785	1484	0	0
22203365	1	8.5436	7.06096	39.2601	1254	0	0
22203369	1	21.827	3.07498	11.2801	16	0	0
22203819	1	16.1096	47.2687	14.3654	1137	0	0
22203852	1	23.4982	38.7085	7.07012	1380	0	0
22203976	1	31.5143	15.203	47.488	1660	0	0
22203985	1	8.69903	23.3331	22.9584	1511	0	0
22203994	1	38.444	18.0472	1.14436	6	0	0
22204010	1	16.5793	31.1603	64.0712	1464	0	0
22204012	1	39.5169	22.9855	55.7639	1463	0	0
22204280	1	48.5449	46.7748	15.4156	1224	0	0
22204281	1	40.2995	55.1462	6.52566	1625	0	0
22204417	1	24.0626	7.02812	40.3969	1249	0	0
22204423	1	8.43352	39.3574	23.407	1673	0	0
22204442	1	24.2752	39.8655	23.1958	1457	0	0
22204451	1	31.6665	47.4428	15.2691	1280	0	0
22204453	1	32.1318	47.0117	30.808	1389	0	0
22204455	1	55.8394	7.2024	6.79506	1529	0	0
22204459	1	39.9348	39.4639	23.0439	1272	0	0
22204461	1	23.6289	55.2524	22.678	1543	0	0
22204570	1	31.8293	63.4068	47.3657	1068	0	0
22204571	1	18.1359	3.756	5.50355	9	0	0
22204576	1	0.971189	14.6274	15.1505	1653	0	0
22204579	1	23.9254	22.7346	55.2382	1398	0	0
22204602	1	31.5738	63.0068	14.6689	1298	0	0
22204625	1	48.0142	63.3257	63.6319	1456	0	0
22204635	1	40.397	54.9216	23.0878	1415	0	0
22204636	1	16.3705	63.0687	63.3369	1484	0	0
22204669	1	16.2926	15.0269	63.4516	1340	0	0
22204672	1	31.9369	15.3296	63.7386	1523	0	0
22204673	1	23.6934	7.07507	22.2709	1487	0	0
22204679	1	32.3514	63.2036	63.5555	1483	0	0
22204681	1	24.1448	7.28691	6.01781	1469	0	0
22204687	1	40.2969	7.15108	55.8937	1539	0	0
22204690	1	10.3921	1.21851	0.038834	6	0	0
22204813	1	48.0463	31.3094	15.1864	1451	0	0
22204820	1	31.8336	31.2115	47.3514	1375	0	0
22204892	1	16.5427	62.9988	14.6973	1406	0	0
22204894	1	47.8137	15.2649	14.978	1578	0	0
22204915	1	39.9537	23.561	39.2235	1262	0	0
22204923	1	32.4023	31.7062	30.9855	1515	0	0
22204924	1	47.6593	31.5285	31.0859	1630	0	0
22205013	1	24.1362	54.9305	39.2731	982	0	0
22205047	1	31.3645	47.6546	63.3587	1273	0	0
22205052	1	24.4549	54.8496	6.66641	1377	0	0
22205053	1	23.9804	38.9814	54.921	1263	0	0
22205054	1	15.989	31.7629	32.2028	1204	0	0
22205058	1	40.2037	7.28949	6.26805	1683	0	0
22205257	1	31.7655	15.3542	14.6945	1186	0	0
22205259	1	32.4529	63.1236	31.1225	1332	0	0
22205294	1	54.4697	55.1203	39.138	1079	0	0
22205297	1	31.6373	15.3632	30.9963	1275	0	0
22205299	1	24.605	22.9146	22.8089	1267	0	0
22205302	1	47.6866	15.6887	31.214	1636	0	0
22205308	1	40.3538	23.1074	22.3509	1663	0	0
22205314	1	40.4088	38.5913	39.8089	1240	0	0
22205315	1	39.6092	7.51798	22.653	1587	0	0
22205319	1	40.8619	0.189458	48.0081	11	0	0
22205325	1	47.0054	56.5443	42.8355	6	0	0
22205329	1	39.9491	7.91767	39.2603	1232	0	0
22205330	1	48.3093	63.0984	31.3511	1583	0	0
22205398	1	55.4473	39.0054	22.9986	1432	0	0
22205399	1	8.10302	55.6651	39.1651	1761	0	0
22205425	1	48.4956	63.0251	14.7609	1579	0	0
22205427	1	55.7248	6.52628	23.0588	1266	0	0
22205452	1	8.51854	55.2814	22.9058	1474	0	0
22205453	1	0.294994	62.9302	14.6958	1522	0	0
22205457	1	56.1605	54.7904	22.9614	1474	0	0
22205460	1	8.16689	7.54593	23.1469	1459	0	0
22205461	1	1.00732	63.2156	31.733	1313	0	0
22205471	1	24.5432	55.8875	55.6623	1440	0	0
22205571	1	44.8052	15.5273	53.5731	17	0	0
22205611	1	56.3007	54.5863	55.805	1179	0	0
