#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
0	0	0.507	1	4	60	500	-	-	-	-	trap_mutation	2	2	152	0	3	4	212	500
7189902	1.79511e-05	1.07	-	-	-	-	-	-	-	-	cascade.100.5.txt	-	-	-	-	-	-	-	-
7189909	1.79511e-05	1.071	23	2	1	0	13	1	1	0	anneal	-	-	-	-	-	-	-	-
7874893	1.79986e-05	1.296	44	4	211	500	-	-	-	-	trap_mutation	45	2	1	0	46	4	212	500
8081800	1.80154e-05	1.361	47	4	211	500	-	-	-	-	trap_mutation	48	2	1	0	49	4	212	500
8082248	1.80154e-05	1.362	50	4	211	500	-	-	-	-	trap_mutation	51	2	1	0	52	4	212	500
8118127	1.80183e-05	1.373	53	4	210	500	-	-	-	-	trap_mutation	54	2	2	0	55	4	212	500
8186251	1.80238e-05	1.389	51	2	1	0	12	1	1	0	anneal	-	-	-	-	-	-	-	-
8232326	1.8029e-05	1.399	56	4	212	501	-	-	-	-	trap_mutation	57	2	1	0	58	4	213	501
8232555	1.80291e-05	1.4	59	4	212	501	-	-	-	-	trap_mutation	60	2	1	0	61	4	213	501
8232759	1.80291e-05	1.4	62	4	212	501	-	-	-	-	trap_mutation	63	2	1	0	64	4	213	501
8232947	1.80291e-05	1.401	65	4	212	501	-	-	-	-	trap_mutation	66	2	1	0	67	4	213	501
9841274	1.81668e-05	1.805	68	2	1	0	8	1	1	0	anneal	-	-	-	-	-	-	-	-
10451491	1.82627e-05	1.936	72	2	1	0	4	1	1	0	anneal	-	-	-	-	-	-	-	-
10946764	1.99247e-05	2.015	-	-	-	-	-	-	-	-	cascade.100.3.txt	-	-	-	-	-	-	-	-
10946764	1.99247e-05	2.016	90	1	1	0	100	2	1	0	anneal	-	-	-	-	-	-	-	-
12224808	2.11831e-05	2.409	144	4	212	502	-	-	-	-	trap_mutation	145	2	1	0	146	4	213	502
12225011	2.11832e-05	2.409	147	4	212	502	-	-	-	-	trap_mutation	148	2	1	0	149	4	213	502
12748865	2.16416e-05	2.561	153	4	212	502	-	-	-	-	trap_mutation	154	2	1	0	155	4	213	502
12748975	2.16416e-05	2.561	156	4	212	502	-	-	-	-	trap_mutation	157	2	1	0	158	4	213	502
12757385	2.16425e-05	2.563	157	2	1	0	11	1	1	0	anneal	-	-	-	-	-	-	-	-
